url_issue,hash
https://github.com/ansible/ansible/issues/39642,f99bae1776cdc87e0a3f190b76c41d77fb7dd94b
https://github.com/sqlmapproject/sqlmap/issues/182,511c3b8dcc8ed318fdb9537bd116d9ba87f1b917
https://github.com/powerline/powerline/issues/898,c6d56327791fc5cd5faba1f0df07ff251ab9f6cd
https://github.com/ansible/ansible/issues/44283,6d2c45e4477503425597dceff560f5c4c41ae456
https://github.com/ansible/ansible/issues/44468,bda074d34e46ee9862a48ed067ad42260d3f92ab
https://github.com/statsmodels/statsmodels/issues/2964,de76c65d0bd892f228f51e4ad0b0cbc0a626cf38
https://github.com/cython/cython/issues/4625,4cae7d6c3aef4f83a083f0083d22cd42c373d1fa
https://github.com/iterative/dvc/issues/5195,cffc019e1f2f5489aa5f2fc7efca38b0535a2b46
https://github.com/numpy/numpy/issues/19821,b3a66e88b005c4ca783c11e5d934451b7ca72477
https://github.com/pyro-ppl/pyro/issues/1291,942ba819bde3e0997975ef44417a2fda51d6a04d
https://github.com/beetbox/beets/issues/3184,6ee824fb0f3419a502b580b171cf9530a1a65b34
https://github.com/ansible/ansible/issues/45355,9c5275092f4759c87d4cd938a73368955934b9b9
https://github.com/numpy/numpy/issues/13077,4056847a275117a97b47fb1f88aafa2b58982d93
https://github.com/benoitc/gunicorn/issues/1024,d79ff999ce895e2ed0ea02aa8729e6da736dfc27
https://github.com/instapy/instapy/issues/3594,37028354b87058ba9a36b79d9b6393078c2ecd68
https://github.com/gamestonkterminal/gamestonkterminal/issues/1767,2ce3fe460ba2595a4e8ef99076f7921884516289
https://github.com/pypa/pipenv/issues/2414,7f7ae3244d6920bb4cd27cd835d7ee4b2ecc9a83
https://github.com/ansible/ansible/issues/45613,ede3a8cee1d6b327a495832b00b0c3e98eff3818
https://github.com/spyder-ide/spyder/issues/20297,b462b20ba68452415655bf0fd6c9a8d086053276
https://github.com/getsentry/sentry/issues/33214,590e6603ec757eccab9a50e67ef433dd3a957a8e
https://github.com/gamestonkterminal/gamestonkterminal/issues/2647,60c060afad205b9b2f37e79eafb3a3f4017f1942
https://github.com/gamestonkterminal/gamestonkterminal/issues/3782,872b920d01d6fcc94a4ac2bd5abad9ece35e677e
https://github.com/andymccurdy/redis-py/issues/2225,fd9fea6bc07bf0970a5a42c5ec1788272446910c
https://github.com/streamlink/streamlink/issues/178,3a559de6c2d1a6fe295b49db9c9ee5fecb8330fe
https://github.com/ansible/awx/issues/4567,1d2edc1d811a831f7448a3ad10161b16dc9650cc
https://github.com/spyder-ide/spyder/issues/20685,232f15a4ce8ac3cdd49a5beb34481eba6e4bab0a
https://github.com/ansible/ansible/issues/47166,dd46f953f6c88bc159c532b17e9b5c7e34f216bc
https://github.com/ansible/ansible/issues/48396,38806e85074c71246549faaf9ac025b6b2bb99c2
https://github.com/pytorchlightning/pytorch-lightning/issues/7256,7a48db591e25fa43d372d4092bfc26c66b72df88
https://github.com/numpy/numpy/issues/10354,44dfa42eeb8db02a70b5981165116d76e8d4ea0e
https://github.com/spyder-ide/spyder/issues/20497,450e50d08e12c96183769875ff164a515491fbad
https://github.com/pyro-ppl/pyro/issues/459,d2049674fedd2d5911c1be791dec765bd827726b
https://github.com/mlflow/mlflow/issues/5308,1335164d20a6521dd4ebfe3f361d19fe9672efcf
https://github.com/certbot/certbot/issues/1719,e87de72662e3ca0f78fc3ef8ddf550f457aa50bc
https://github.com/gamestonkterminal/gamestonkterminal/issues/2566,197c08e8edbc4bff7bb7f6e972e70ceab92ec22c
https://github.com/statsmodels/statsmodels/issues/6337,07ae318497fa3ce4bbeac55171ed73a9d6d0b107
https://github.com/zulko/moviepy/issues/1147,5eb20a73c959d71482effe4f30713d7d2d7c0a65
https://github.com/mailpile/mailpile/issues/620,a72aff54a256ddc886d6f7835acae515694bd700
https://github.com/ansible/ansible/issues/56577,cac93cbd1f041eac5045250a6663644cdbba3df8
https://github.com/sqlmapproject/sqlmap/issues/60,438a6369732c54737f3e74ce3e3dba306b9fe78f
https://github.com/zulko/moviepy/issues/3,25ed5a4d980b52dda114cdd88e657cbd8ea3b42a
https://github.com/python-pillow/pillow/issues/3791,ab9a25d623fdd7f8de3e724b538f5660eac589ae
https://github.com/ansible/ansible/issues/58647,1c2c1c15d0483e85b1addf4c6f15c80135ef02a3
